('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 cp437.py:1(<module>)
       16    0.000    0.000    0.023    0.001 css_parser.py:306(__init__)
        4    0.000    0.000    0.000    0.000 connection_pool.py:270(_assign_requests_to_connections)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        8    0.000    0.000    0.048    0.006 filter.py:163(find_all)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 request.py:2510(getproxies_environment)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _events.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _fileio.py:1(<module>)
      106    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
        1    0.000    0.000    0.000    0.000 cp1125.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _connection.py:320(_get_io_object)
       30    0.000    0.000    0.000    0.000 {built-in method _asyncio._set_running_loop}
        2    0.000    0.000    0.001    0.000 unix_events.py:195(_make_subprocess_transport)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       26    0.000    0.000    0.000    0.000 _connection.py:70(<lambda>)
        9    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:75(from_impl)
        4    0.000    0.000    0.000    0.000 _htmlparser.py:331(__init__)
        4    0.000    0.000    1.075    0.269 __init__.py:653(_feed)
       26    0.000    0.000    0.000    0.000 _connection.py:659(_filter_none)
       16    0.000    0.000    0.011    0.001 css_parser.py:1149(process_selectors)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp864.py:1(<module>)
    19/17    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.000    0.000 cp866.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
        1    0.000    0.000    0.000    0.000 cp865.py:1(<module>)
       30    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 cp860.py:1(<module>)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.001    0.001 _element_handle.py:54(ElementHandle)
       15    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        3    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
        2    0.000    0.000    0.000    0.000 _client.py:156(close)
        1    0.000    0.000    0.000    0.000 cp852.py:1(<module>)
        1    0.000    0.000    2.304    2.304 _api.py:39(request)
        1    0.000    0.000    0.000    0.000 cp737.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp858.py:1(<module>)
        4    0.000    0.000    0.048    0.012 element.py:2957(find)
        2    0.000    0.000    0.000    0.000 subprocess.py:74(pipe_connection_lost)
        1    0.000    0.000    0.000    0.000 cp775.py:1(<module>)
      190    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
        1    0.000    0.000    0.002    0.002 _network.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp855.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _events.py:82(__init__)
        2    0.000    0.000    0.000    0.000 _tasks.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _urlparse.py:497(quote)
        2    0.000    0.000    0.000    0.000 connection_pool.py:409(close)
        2    0.000    0.000    0.000    0.000 subprocess.py:188(communicate)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       28    0.000    0.000    0.000    0.000 tokenize.py:382(find_cookie)
       49    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
       77    0.000    0.000    0.000    0.000 {built-in method _asyncio.current_task}
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.237    0.237 sync.py:188(connect_tcp)
        1    0.000    0.000    0.000    0.000 cp862.py:1(<module>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
       56    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Task' objects}
        2    0.000    0.000    0.000    0.000 _events.py:137(__init__)
        1    0.000    0.000    0.000    0.000 cp863.py:1(<module>)
        1    0.000    0.000    0.000    0.000 default.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:383(__init__)
       53    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 cp861.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _api_structures.py:1(<module>)
        6    0.000    0.000    0.000    0.000 inspect.py:3262(__str__)
      191    0.000    0.000    0.000    0.000 base.py:178(_emit_handle_potential_error)
        1    0.000    0.000    0.000    0.000 cp850.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.138    0.138 socket.py:946(getaddrinfo)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       16    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        4    0.000    0.000    0.000    0.000 _generated.py:9248(content)
      172    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      236    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000   19.248   19.248 _connection.py:316(stop_sync)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
       78    0.000    0.000    0.000    0.000 tasks.py:460(<genexpr>)
      181    0.000    0.000    0.000    0.000 element.py:2508(__eq__)
        8    0.000    0.000    0.000    0.000 formatter.py:79(__init__)
        1    0.000    0.000    0.001    0.001 _browser_context.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000   19.600   19.600 financial_enhanced.py:32(fetch_page_playwright)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _urls.py:77(__init__)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
        8    0.000    0.000    0.002    0.000 _page.py:534(content)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _context_manager.py:69(callback_wrapper)
        1    0.000    0.000    0.000    0.000 _fileio.py:218(Path)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
        1    0.000    0.000    0.000    0.000 unix_events.py:607(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       11    0.000    0.000    0.000    0.000 _page.py:240(<lambda>)
        3    0.000    0.000    0.000    0.000 request.py:315(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
    19/18    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       56    0.000    0.000    0.000    0.000 {method 'clear' of 'bytearray' objects}
       10    0.000    0.000    0.000    0.000 _helper.py:368(locals_to_params)
        1    0.000    0.000    0.001    0.001 _state.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
        8    0.000    0.000    0.000    0.000 _page.py:1496(_on_close)
        3    0.000    0.000    0.000    0.000 base_subprocess.py:232(_try_finish)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
        1    0.000    0.000    0.001    0.001 _headers.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _status_codes.py:8(codes)
       11    0.000    0.000    0.000    0.000 _page.py:340(_on_worker)
        2    0.000    0.000    0.001    0.001 _frame.py:143(goto)
        1    0.000    0.000    0.003    0.003 _fetch.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _locator.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:204(__init__)
        2    0.000    0.000    0.000    0.000 _subprocesses.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _models.py:202(keys)
       15    0.000    0.000    0.000    0.000 _headers.py:209(get_comma_header)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
        1    0.000    0.000    2.304    2.304 _api.py:174(get)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        1    0.000    0.000    0.000    0.000 header.py:175(Header)
        8    0.000    0.000    0.000    0.000 element.py:3195(__init__)
      107    0.000    0.000    0.000    0.000 constant.py:417(<lambda>)
        1    0.000    0.000    0.000    0.000 css_parser.py:681(parse_pseudo_nth)
        1    0.000    0.000    0.000    0.000 tasks.py:43(all_tasks)
        1    0.000    0.000    0.000    0.000 _sync_base.py:1(<module>)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        1    0.000    0.000    0.000    0.000 base_events.py:411(__init__)
        1    0.000    0.000    0.000    0.000 _tempfile.py:1(<module>)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1166(__mro_entries__)
        1    0.000    0.000   27.335   27.335 financial_enhanced.py:1(<module>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:531(__setattr__)
        1    0.000    0.000    0.004    0.004 _content.py:1(<module>)
       87    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      106    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
       72    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:595(__init__)
       26    0.000    0.000    0.000    0.000 {method 'timestamp' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 selector_events.py:59(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:807(__init__)
        1    0.000    0.000    0.101    0.101 sync.py:144(start_tls)
        1    0.000    0.000    0.000    0.000 _client.py:475(_build_redirect_request)
       10    0.000    0.000    0.000    0.000 _sync_base.py:89(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 dammit.py:98(EntitySubstitution)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
      100    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      172    0.000    0.000    0.000    0.000 selectors.py:272(get_map)
        1    0.000    0.000    0.000    0.000 _driver.py:25(compute_driver_executable)
        2    0.000    0.000    0.014    0.007 parser.py:1(<module>)
      110    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      136    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
      108    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       20    0.000    0.000    0.000    0.000 element.py:530(get_text)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       26    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      106    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
        1    0.000    0.000    0.059    0.059 default.py:136(__init__)
        2    0.000    0.000    0.000    0.000 http11.py:140(_send_request_headers)
        2    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
        6    0.000    0.000    0.000    0.000 tasks.py:670(ensure_future)
        1    0.000    0.000    0.013    0.013 css_parser.py:326(__init__)
        1    0.000    0.000    0.000    0.000 _generated.py:1030(WebSocket)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        8    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:949(set_ok)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:603(_get_protocol_attrs)
       45    0.000    0.000    0.000    0.000 _readers.py:43(_obsolete_line_fold)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:719(copy)
        1    0.000    0.000    0.000    0.000 _client.py:188(BaseClient)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {built-in method posix.close}
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.059    0.059 _client.py:639(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:515(Response)
        2    0.000    0.000    0.000    0.000 http11.py:152(_send_request_body)
        1    0.000    0.000    0.000    0.000 _generated.py:94(Request)
       21    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        6    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.000    0.000 base.py:33(EventEmitter)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 _generated.py:8248(url)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        2    0.000    0.000    0.000    0.000 http11.py:238(_response_closed)
        1    0.000    0.000    0.000    0.000 _generated.py:6101(FrameLocator)
        1    0.000    0.000   19.248   19.248 _context_manager.py:55(greenlet_main)
       16    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
       31    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
        1    0.000    0.000    0.000    0.000 base_events.py:409(BaseEventLoop)
        2    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _browser.py:60(Browser)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        6    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_bound_method)
        4    0.000    0.000    0.000    0.000 _htmlparser.py:278(handle_decl)
        1    0.000    0.000    0.001    0.001 base_subprocess.py:12(__init__)
        1    0.000    0.000    0.000    0.000 _playwright.py:31(__init__)
        8    0.000    0.000    0.001    0.000 _frame.py:474(content)
       61    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       83    0.000    0.000    0.000    0.000 unix_events.py:499(is_reading)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
        1    0.000    0.000    0.000    0.000 tasks.py:731(gather)
       84    0.000    0.000    0.000    0.000 typing.py:2867(<genexpr>)
        1    0.000    0.000    0.000    0.000 _client.py:594(Client)
        1    0.000    0.000    1.949    1.949 _client.py:964(_send_handling_redirects)
        2    0.000    0.000    1.608    0.804 http11.py:170(_receive_response_headers)
        3    0.000    0.000    0.000    0.000 _utils.py:8(is_socket_readable)
    57/50    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        7    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       16    0.000    0.000    0.000    0.000 css_parser.py:459(__init__)
        1    0.000    0.000    0.000    0.000 _connection.py:167(__init__)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _writers.py:1(<module>)
       53    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        1    0.000    0.000    0.000    0.000 unix_events.py:951(_do_wait)
        1    0.000    0.000    0.000    0.000 _connection.py:151(Connection)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        5    0.000    0.000    0.000    0.000 _element_handle.py:55(__init__)
        4    0.000    0.000    0.000    0.000 _events.py:337(__init__)
        2    0.000    0.000    0.001    0.000 _browser_type.py:73(launch)
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
       65    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      111    0.000    0.000    0.000    0.000 base_events.py:720(is_closed)
        1    0.000    0.000    0.000    0.000 timeouts.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:670(__new__)
        6    0.000    0.000    0.000    0.000 sync.py:130(write)
        1    0.000    0.000    0.000    0.000 _browser_context.py:569(_on_close)
        2    0.000    0.000    0.000    0.000 _models.py:961(close)
        1    0.000    0.000    0.000    0.000 _decoders.py:1(<module>)
        2    0.000    0.000    0.001    0.001 _models.py:1101(extract_cookies)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
       18    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.socketpair}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:73(_parseparam)
        4    0.000    0.000    1.075    0.269 parser.py:105(feed)
        1    0.000    0.000    0.000    0.000 _client.py:1307(AsyncClient)
        3    0.000    0.000    0.000    0.000 _models.py:1084(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:769(_SelectorTransport)
        1    0.000    0.000    0.012    0.012 ssl.py:683(create_default_context)
        2    0.000    0.000    0.000    0.000 _models.py:699(_get_content_decoder)
        1    0.000    0.000    0.002    0.002 _element_handle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgi.py:1(<module>)
       23    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        4    0.000    0.000    0.000    0.000 parser.py:87(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       13    0.000    0.000    0.000    0.000 dammit.py:1371(numeric_character_reference)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _js_handle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _client.py:340(build_request)
       15    0.000    0.000    0.000    0.000 inspect.py:1456(formatannotation)
        1    0.000    0.000    0.001    0.001 sync.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _models.py:281(origin)
        5    0.000    0.000    0.000    0.000 connection_pool.py:341(_close_connections)
       23    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 _frame.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        2    0.000    0.000    0.000    0.000 _browser.py:129(new_context)
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
        1    0.000    0.000    0.000    0.000 _network.py:129(Request)
       43    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        7    0.000    0.000    0.000    0.000 _frame.py:128(_on_frame_navigated)
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
        1    0.000    0.000    0.000    0.000 _browser_type.py:55(BrowserType)
        1    0.000    0.000    0.000    0.000 _connection.py:261(Connection)
       13    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
        6    0.000    0.000    0.000    0.000 _connection.py:544(send_with_data_passthrough)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
       12    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
        2    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        8    0.000    0.000    0.000    0.000 parse.py:841(__getattr__)
       36    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        1    0.000    0.000    0.000    0.000 message.py:656(_get_params_preserve)
        6    0.000    0.000    0.000    0.000 http11.py:163(_send_event)
       41    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        1    0.000    0.000    0.011    0.011 feedparser.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        1    0.000    0.000    0.004    0.004 _urls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:407(__subclasshook__)
        3    0.000    0.000    0.000    0.000 typing_extensions.py:794(__init_subclass__)
        2    0.000    0.000    0.000    0.000 _typedattr.py:25(__init_subclass__)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:1(<module>)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1096(return_ok)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 _fetch.py:102(APIRequestContext)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 mock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http11.py:47(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        1    0.000    0.000    0.000    0.000 _set_input_files_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _generated.py:6710(Worker)
       60    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Task' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 events.py:211(AbstractEventLoop)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _util.py:108(__new__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1282(_close_pipe_fds)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.000    0.000 _browser_context.py:184(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
        8    0.000    0.000    0.000    0.000 __init__.py:219(finditer)
       10    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
       80    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        9    0.000    0.000    0.000    0.000 inspect.py:2799(__str__)
       15    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 _impl_to_api_mapping.py:33(ImplToApiMapping)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
        1    0.000    0.000    0.000    0.000 _generated.py:683(Route)
        5    0.000    0.000    0.000    0.000 _frame.py:303(_timeout)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:252(get_list)
        1    0.000    0.000    0.002    0.002 _greenlets.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       54    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       26    0.000    0.000    0.000    0.000 element.py:664(_last_descendant)
        1    0.000    0.000    0.002    0.002 staggered.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _browser_context.py:177(<lambda>)
        4    0.000    0.000    0.000    0.000 _urlparse.py:200(__str__)
        1    0.000    0.000    0.000    0.000 _browser_type.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _browser_context.py:200(<lambda>)
        2    0.000    0.000    0.001    0.000 _transport.py:104(connect)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        3    0.000    0.000    0.000    0.000 request.py:339(full_url)
        2    0.000    0.000    0.001    0.000 subprocess.py:218(create_subprocess_exec)
        2    0.000    0.000    0.001    0.001 _page.py:545(goto)
        1    0.000    0.000    0.001    0.001 _console_message.py:27(ConsoleMessage)
        1    0.000    0.000    0.000    0.000 selector_events.py:53(BaseSelectorEventLoop)
      7/3    0.000    0.000    0.000    0.000 typing.py:1393(__repr__)
        1    0.000    0.000    0.010    0.010 _policybase.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _models.py:371(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:516(__init__)
       52    0.000    0.000    0.000    0.000 {method 'remove_done_callback' of '_asyncio.Future' objects}
        3    0.000    0.000    0.000    0.000 request.py:370(_parse)
        1    0.000    0.000    0.000    0.000 _models.py:85(_parse_content_type_charset)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        1    0.000    0.000    0.014    0.014 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.000    0.000 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 header.py:408(_ValueFormatter)
        2    0.000    0.000    0.000    0.000 http11.py:344(close)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1272(_cookies_for_domain)
        3    0.000    0.000    0.000    0.000 tasks.py:767(_done_callback)
       50    0.000    0.000    0.000    0.000 pathlib.py:273(__len__)
        1    0.000    0.000    0.001    0.001 unix_events.py:811(_start)
        7    0.000    0.000    0.000    0.000 inspect.py:3050(from_callable)
        2    0.000    0.000    0.000    0.000 calendar.py:683(timegm)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       12    0.000    0.000    0.000    0.000 inspect.py:1816(getattr_static)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fb5ee005f80}
        1    0.000    0.000    0.009    0.009 to_thread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        4    0.000    0.000    0.000    0.000 parser.py:97(reset)
