('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  465/464    0.003    0.000    0.013    0.000 <frozen posixpath>:437(_joinrealpath)
    13295    0.003    0.000    0.004    0.000 _parser.py:261(get)
      386    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     3171    0.002    0.000    0.004    0.000 <frozen posixpath>:71(join)
    21811    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     3955    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.002    0.002    0.031    0.031 dammit.py:128(_populate_class_variables)
      180    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
    20682    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
       15    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     4382    0.002    0.000    0.005    0.000 typing.py:1188(__setattr__)
     1349    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
      636    0.002    0.000   19.248    0.030 base_events.py:1910(_run_once)
      451    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    14142    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       50    0.002    0.000    0.008    0.000 traceback.py:399(_extract_from_extended_frame_gen)
      147    0.002    0.000    0.002    0.000 {built-in method posix.read}
     2942    0.002    0.000    0.005    0.000 filter.py:618(_attribute_match)
      607    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    18403    0.002    0.000    0.002    0.000 parser.py:128(clear_cdata_mode)
 3203/150    0.002    0.000    0.002    0.000 _connection.py:530(_replace_guids_with_channels)
      466    0.002    0.000    0.081    0.000 __init__.py:280(_compile)
      386    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    10906    0.002    0.000    0.003    0.000 _parser.py:256(match)
      607    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
      680    0.002    0.000    0.011    0.000 typing.py:1242(__init__)
    458/7    0.002    0.000    0.253    0.036 <frozen importlib._bootstrap>:1349(_find_and_load)
    135/1    0.002    0.000   19.248   19.248 {method 'switch' of 'greenlet.greenlet' objects}
    11534    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      314    0.001    0.000    1.896    0.006 http11.py:209(_receive_event)
       10    0.001    0.000    0.296    0.030 {method 'join' of 'bytes' objects}
      772    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       20    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
      297    0.001    0.000    0.054    0.000 inspect.py:1677(getframeinfo)
      628    0.001    0.000    0.003    0.000 streams.py:722(readexactly)
     3675    0.001    0.000    0.002    0.000 _parser.py:293(tell)
  761/297    0.001    0.000    0.048    0.000 inspect.py:944(getsourcefile)
     4809    0.001    0.000    0.003    0.000 typing.py:1134(_is_dunder)
      750    0.001    0.000   10.676    0.014 events.py:86(_run)
      150    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     7151    0.001    0.000    0.002    0.000 _parser.py:176(append)
      636    0.001    0.000    8.569    0.013 selectors.py:451(select)
    11631    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     8299    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      750    0.001    0.000    0.119    0.000 {method 'run' of '_contextvars.Context' objects}
     5293    0.001    0.000    0.002    0.000 {built-in method builtins.max}
    457/6    0.001    0.000    0.253    0.042 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
