('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      685    0.003    0.000    0.196    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    58854    0.003    0.000    0.003    0.000 typing.py:2154(cast)
22418/22350    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
    19210    0.003    0.000    0.003    0.000 __init__.py:290(can_be_empty_element)
    26440    0.003    0.000    0.004    0.000 inspect.py:291(ismodule)
  485/484    0.003    0.000    0.013    0.000 <frozen posixpath>:437(_joinrealpath)
     3278    0.003    0.000    0.004    0.000 <frozen posixpath>:71(join)
    20131    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
        1    0.002    0.002    0.031    0.031 dammit.py:128(_populate_class_variables)
     3725    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    18707    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
    19210    0.002    0.000    0.003    0.000 __init__.py:636(set_up_substitutions)
      416    0.002    0.000    0.202    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    15121    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    20246    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      603    0.002    0.000   29.953    0.050 base_events.py:1910(_run_once)
      350    0.002    0.000    0.415    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    13511    0.002    0.000    0.003    0.000 _parser.py:256(match)
      641    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
    19206    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
     1161    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
       50    0.002    0.000    0.479    0.010 traceback.py:399(_extract_from_extended_frame_gen)
 3177/138    0.002    0.000    0.002    0.000 _connection.py:530(_replace_guids_with_channels)
     3496    0.002    0.000    0.004    0.000 typing.py:1188(__setattr__)
      420    0.002    0.000    0.089    0.000 __init__.py:280(_compile)
    12824    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
      569    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:304(acquire)
    17377    0.002    0.000    0.002    0.000 parser.py:128(clear_cdata_mode)
      139    0.002    0.000    0.002    0.000 {built-in method posix.read}
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
    419/4    0.002    0.000    1.090    0.272 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.002    0.002    0.002    0.002 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       20    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
      700    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     2442    0.001    0.000    0.004    0.000 filter.py:618(_attribute_match)
     4003    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      165    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      365    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     7728    0.001    0.000    0.002    0.000 _parser.py:176(append)
      543    0.001    0.000    0.008    0.000 typing.py:1242(__init__)
      297    0.001    0.000    0.051    0.000 inspect.py:1677(getframeinfo)
    126/1    0.001    0.000   29.953   29.953 {method 'switch' of 'greenlet.greenlet' objects}
  781/297    0.001    0.000    0.046    0.000 inspect.py:944(getsourcefile)
      275    0.001    0.000    0.005    0.000 response.py:137(decompress)
      579    0.001    0.000    0.003    0.000 streams.py:722(readexactly)
     5528    0.001    0.000    0.002    0.000 {built-in method builtins.max}
    11148    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    352/1    0.001    0.000   38.077   38.077 {built-in method builtins.exec}
      134    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      603    0.001    0.000   18.844    0.031 selectors.py:451(select)
    418/4    0.001    0.000    1.090    0.272 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      569    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3768    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
      711    0.001    0.000    0.631    0.001 {method 'run' of '_contextvars.Context' objects}
      711    0.001    0.000   11.106    0.016 events.py:86(_run)
       23    0.001    0.000    0.192    0.008 {method 'join' of 'bytes' objects}
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      569    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     5836    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      569    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
    390/5    0.001    0.000    1.077    0.215 <frozen importlib._bootstrap>:911(_load_unlocked)
     4435    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     1978    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      390    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      271    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     2462    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
      396    0.001    0.000    0.198    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       25    0.001    0.000    0.002    0.000 _connection.py:603(_extract_stack_trace_information_from_stack)
      856    0.001    0.000    0.001    0.000 inspect.py:904(getfile)
    17144    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
     9413    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      249    0.001    0.000    0.008    0.000 typing.py:687(Union)
     6306    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        1    0.001    0.001    6.764    6.764 financial.py:9(fetch_page_requests)
      491    0.001    0.000    0.003    0.000 typing_extensions.py:3228(_collect_parameters)
      350    0.001    0.000    0.381    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     4785    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
      933    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      369    0.001    0.000    1.218    0.003 ssl.py:1237(recv_into)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      700    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       19    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      146    0.001    0.000    0.121    0.001 _connection.py:408(dispatch)
     4904    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     9105    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      175    0.001    0.000    0.001    0.000 base.py:185(_call_handlers)
      571    0.001    0.000    0.001    0.000 base_events.py:814(_call_soon)
     3785    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1501    0.001    0.000    0.001    0.000 <frozen posixpath>:60(isabs)
      205    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     1076    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     2448    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
     4637    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    350/5    0.001    0.000    1.077    0.215 <frozen importlib._bootstrap_external>:989(exec_module)
     2790    0.001    0.000    0.001    0.000 element.py:2355(get)
      410    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
      205    0.001    0.000    0.086    0.000 _compiler.py:740(compile)
      350    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      491    0.001    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
     1016    0.001    0.000    0.003    0.000 <frozen posixpath>:413(abspath)
      966    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
       26    0.001    0.000    0.001    0.000 {built-in method posix.write}
       30    0.001    0.000    2.047    0.068 __init__.py:1(<module>)
     2738    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1407    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     4415    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1050    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1571    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       26    0.001    0.000    0.388    0.015 _connection.py:354(_send_message_to_server)
       25    0.001    0.000    0.052    0.002 inspect.py:1738(getouterframes)
     1293    0.001    0.000    0.001    0.000 {built-in method fromkeys}
    874/9    0.000    0.000    1.044    0.116 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3387    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    56/16    0.000    0.000    0.010    0.001 css_parser.py:925(parse_selectors)
      569    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1530    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     2442    0.000    0.000    0.001    0.000 filter.py:321(matches_tag)
     3046    0.000    0.000    0.001    0.000 inspect.py:954(<genexpr>)
