Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
rutabaga,0.2,0.0,0.0,3.1,8.2,0.5,2.2,0.0,0.0,0.0,27.8,3.3,2.4,2.0,0.2,7.5,3.1,4.4,5.9,5.2,0.0,0.0,3.2,4.2,0.0,4.8,2.2,1.3,3.6,5.7,0.0,0.0,0.0,6.5,2.6
rye,4.2,0.0,0.0,17.6,20.7,26.2,17.0,0.0,0.0,0.0,0.4,5.6,15.7,2.2,1.0,36.2,25.8,23.8,4.4,27.5,0.0,0.0,8.8,10.0,0.0,9.5,10.4,56.2,20.7,35.8,0.0,0.0,0.0,3.5,2.7
saffron,7.5,0.0,0.0,23.8,13.9,6.4,22.8,0.0,0.0,3.0,89.8,8.5,61.7,0.0,0.0,9.6,20.5,9.1,59.4,23.2,0.0,0.0,0.0,20.2,0.0,62.9,9.9,10.2,36.4,1234.8,0.0,0.0,0.0,36.6,0.0
sage,28.5,0.0,0.0,26.1,3.6,9.2,6.3,0.0,0.0,0.0,0.0,1.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,4.0,2.6,0.0,6.9,9.0,0.0,0.0,0.0,3.1,0.0
sake,0.0,0.0,0.0,1.8,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.4,0.2,2.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0
salmon,2.4,0.0,6.3,1.2,3.6,6.3,15.1,0.0,24.0,3.3,9.9,6.8,2.8,3.5,19.2,2.9,6.5,16.4,9.3,5.0,64.2,0.0,0.0,10.8,0.0,4.3,3.6,21.3,7.0,0.0,0.0,0.0,0.0,5.7,6.3
salsa,11.3,0.0,5.0,3.2,0.0,35.8,5.9,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,13.3,0.0,20.3,0.2,0.4,18.0,41.8,0.0,24.0,3.8,1.1,18.5,12.8,9.2,0.3,3.7,17.9,26.2,7.2,6.0,375.0,0.0,14.6,29.3,0.0,8.1,12.7,73.8,30.2,9.0,0.0,0.0,0.0,7.3,13.8
sausage,41.2,0.0,29.7,0.0,0.0,39.6,39.2,0.0,0.0,0.0,0.0,1.4,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0
scallop,16.1,0.0,8.3,5.1,1.8,20.3,22.2,0.0,0.0,0.3,0.0,1.5,6.6,15.0,10.0,12.5,6.5,9.6,3.7,8.2,39.2,0.0,0.0,22.2,0.0,5.2,7.6,23.3,5.0,0.0,0.0,0.0,0.0,3.8,10.2
